girl nt regret porn reaching fame heights could say feels bad stop girls taking step porn industries proudly saying cause liked would u guys commenting sunny behalf would let ur mother sister would like  even sunny fan respect women time girls india getting influence working porn due support boldness celebs would say regrets would save many girls thinking go way  every women india right wear want want speak supporting acts like regret porn destroying youth girls india even divorced women  many way make money would u like ur mother sister jobs like porn happily  support  encourage saying nt regret statements would get many girls spoil life everyone get successful sunny got porn girl india county request please dont get fascinated girls actually sad life  sunny husband let mans sex lot money u think love  culture promoting due basturds |0.23348214285714286
bloody asshole sitting interview asking questions person gutts let person answer listen  chiya  people judging occupation far gutts  nt parents teach childhood work shameful harmful  infact great job  entertainer  hurting anyone  rather job spreading pleasure  sin  infact shameful humanity  hurting person offensive questions definately seems result sick mentality  people like deserves abusesi wish read comment |-0.15357142857142858
interviwer always focus negative points|-0.3
fucking judgemental|-0.6
sunny really strong woman wish slapped front everyone bloody loser |-0.18333333333333338
1030|0.0
hired arsehole|0.0
sunny leone  u respect  fuck interview guy whose name even dont know|-0.4
wanted slap face every single qsn  intentionally insulting|-0.5357142857142857
love sunny leone  graceful  keep shining|0.5
really admire strong elegant manner sunny leone replies questions  anchor  would like ask many indian movies 2016 till main female leads clad head toe saree throughout movie |0.3
saale takle gandu abe chanel walo isku naukri se nikaldo |0.0
asshole person|0.0
every answer 10 10 |0.0
pride prejudice|0.0
luk dislikes|0.0
ugly  inside n outside  sense die one shows  sunny calm composed  professional  haha tried nasty dramatic  yikes |-0.21904761904761902
fucker way talk human  pushing cry  still rights |0.0
sure reporter research n read abt ppl really think  cheap mentality personrespect sunny|0.3666666666666667
karenjit owned fagget interviewhe scared knows strong woman nt know himselfthis one wo nt work  ok  hertheir fragile pussies interviewer  nut |0.3111111111111111
wow  fab  interview think reporter asked sunny wonderful question deserves kind questions became fan calm polite sweet positive thinker sunny esi hogi socha ni tha|0.4295454545454545
many watching watching  karenjit kaur  untold story  |0.5
dont understand dont ppl give freedom wat ever ppl n wat love  also days bollywood ppl like porn  sunny sweet  respect  shut fuck n let happy wat|0.3125
really yaaar u great patient sunny  frustrated type q  want kamina hai sala isko  |0.10000000000000002
bullshithey oldie thier lot thing cover ’|0.0
u r item cnn 18  |0.0
interviewer need learn interview woman   |0.0
fucked journalist sacked  nt know respect women  generating trp channel disrespecting women  acceptable  balled bastard  u urself money|-0.6
wish could punch guy  douche  sunny handled questions grace |0.0
ye buddey ko maro pehle  bakwass kaminey|0.0
asshole interviewer ended looking  n judgmental creep  beautiful woman regardless past  |0.3
hypocrates everywhere  ppl might curse fact ppl get chance see person  first one take selfie  remember 2 years back visited ghaziabad inaugration ppl get mad see glimps  long traffic jams  ppl standing cars etc see  need lot courage must say brave lady  yesterday saw biopic loved chemistry brother sister  god bless |0.17916666666666667
totally disgusting |-1.0
asking questions giving chance speak  hate type people general like everyday life  patient clam would slap letting complete sentence|-0.2125
answered gracefully though man douchehe deserves slapped|0.0
oh  wish could answer interviews like |0.0
anyone find dirt someonebe one finds gold  seen gold|0.0
strongest women ever seen |0.0
journalist articulate yet stupid  best interview seen shows grace wins arrogance |0.16666666666666666
interview searched thing sunny asked many countered question bravely asked interviewer sunny greatly postivily ans questionssunny proves also human regretsatlast life sunny india controversial bcuz past think wrong den totaly stay away u watched wrong also wrong|0.12000000000000002
sunny everyone heart keeping cool  think guy  actually  porn star  verbal porn|0.175
